"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Cuba|NA|NA",2020-03-25,"Cuba",NA,NA,1,1,1,57,0,0,9,0,11338138,0.162112389922363,0.686025495906116,0.151862114171521,42.1,108.999596231494,0.008827
"Cyprus|NA|NA",2020-03-25,"Cyprus",NA,NA,3,3,3,132,0,0,8,0,1189265,0.16787847956511,0.694930902700408,0.137190617734483,37.9,128.708333333333,0.006952
"Czechia|NA|NA",2020-03-25,"Czechia",NA,NA,6,6,6,1654,0,3,260,0,10625695,0.155866055197434,0.649925175870224,0.194208768932343,43.3,137.602887852888,0.0105
"Denmark|NA|NA",2020-03-25,"Denmark",NA,NA,11.3333333333333,11.3333333333333,34,1862,0,2,144,0,5797446,0.164582625623987,0.637287848006111,0.198129526369902,42,138.067301738509,0.0082
"Diamond Princess|NA|NA",2020-03-25,"Diamond Princess",NA,NA,10,10,10,712,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic|NA|NA",2020-03-25,"Dominican Republic",NA,NA,10,10,10,392,0,4,80,0,10627165,0.279771295026574,0.649400530208454,0.0708281747649721,27.9,219.97857586421,0.00612
"Ecuador|NA|NA",2020-03-25,"Ecuador",NA,NA,28,28,28,1173,0,1,91,0,17084357,0.280285920021109,0.64814118271228,0.0715728972666108,28.8,68.7886817522951,0.005101
"Egypt|NA|NA",2020-03-25,"Egypt",NA,NA,21,21,21,456,0,1,54,0,98423595,0.337987207092348,0.60971499944556,0.0522977934620923,24.1,98.8734692852479,0.005863
"Estonia|NA|NA",2020-03-25,"Estonia",NA,NA,1,1,1,404,0,1,404,0,1320884,0.163570737459559,0.640165694070692,0.196263568469749,43.7,30.3861053600184,0.0118
"Finland|NA|NA",2020-03-25,"Finland",NA,NA,3,3,3,880,0,2,88,0,5518050,0.161451829725838,0.62134029481894,0.217207875455222,42.8,18.1568556480537,0.0098
"France|NA|NA",2020-03-25,"France",NA,NA,133.3,133.3,1333,25600,0,231,2978,0,66987244,0.179564644444787,0.620089108085333,0.200346247469881,41.7,122.338395739199,0.009
"Gabon|NA|NA",2020-03-25,"Gabon",NA,NA,1,1,1,6,0,0,0,0,2119275,0.370258696960045,0.594102228356395,0.0356390746835592,21,8.22476423332169,0.006998
"Gambia|NA|NA",2020-03-25,"Gambia",NA,NA,1,1,1,3,0,0,0,0,2280102,0.442687450605107,0.53141274000107,0.0258998093938232,21.8,225.30652173913,0.008044
"Germany|NA|NA",2020-03-25,"Germany",NA,NA,206,206,206,37323,0,49,4337,0,82927922,0.136210301045356,0.649170079001335,0.214619619953309,47.8,237.3709697733,0.0113
"Ghana|NA|NA",2020-03-25,"Ghana",NA,NA,4,4,4,93,0,2,40,0,29767108,0.375960615850344,0.593350404080317,0.0306889800693396,21.4,130.821429199262,0.007414
"Greece|NA|NA",2020-03-25,"Greece",NA,NA,22,22,22,821,0,2,78,0,10727668,0.140712448654023,0.642734830567542,0.216552720778435,45.3,83.2247323506594,0.0116
"Guatemala|NA|NA",2020-03-25,"Guatemala",NA,NA,1,1,1,24,0,0,3,0,17247807,0.344353953933618,0.607525320983504,0.0481207250828785,23.2,160.953779395297,0.004762
"Guyana|NA|NA",2020-03-25,"Guyana",NA,NA,1,1,1,5,0,0,0,0,779004,0.28214545202476,0.65335183554427,0.0645027124309697,27.5,3.95734823469647,0.007365
"Hungary|NA|NA",2020-03-25,"Hungary",NA,NA,10,10,10,226,0,1,39,0,9768785,0.144119922134424,0.664302824033255,0.191577253832321,43.6,107.906605545123,0.0135
"Iceland|NA|NA",2020-03-25,"Iceland",NA,NA,2,2,2,737,0,0,89,0,353574,0.198323201064408,0.653725873369903,0.147950925565689,37.1,3.52692269326683,0.0065
"India|NA|NA",2020-03-25,"India",NA,NA,12,12,12,657,0,2,121,0,1352617328,0.270533018530221,0.667667424975064,0.0617995564947149,28.7,454.938072575247,0.00721
"Indonesia|NA|NA",2020-03-25,"Indonesia",NA,NA,58,58,58,790,0,3,104,0,267663435,0.265511973052634,0.675916370820079,0.0585716561272863,31.1,147.75219008926,0.006433
"Iran|NA|NA",2020-03-25,"Iran",NA,NA,2077,2077,2077,27017,0,143,2206,0,81800269,0.244765586602319,0.693388675341431,0.0618457380562499,31.7,50.222420123284,0.004835
"Iraq|NA|NA",2020-03-25,"Iraq",NA,NA,29,29,29,346,0,2,30,0,38433600,0.383865654011074,0.582898349360976,0.0332359966279505,21.2,88.5305700354617,0.004826
"Ireland|NA|NA",2020-03-25,"Ireland",NA,NA,9,9,9,1564,0,2,235,0,4853506,0.214064195870662,0.647277787116415,0.138658017012923,37.8,70.452983016403,0.0063
"Israel|NA|NA",2020-03-25,"Israel",NA,NA,5,5,5,2369,0,2,1131,0,8883800,0.279252464589938,0.600977675160436,0.119769860249625,30.4,410.526802218115,0.0051
"Italy|NA|NA",2020-03-25,"Italy",NA,NA,7503,7503,7503,74386,0,683,5210,0,60431283,0.133291160906398,0.639192043068525,0.227516796025077,46.5,205.450747943156,0.0107
"Jamaica|NA|NA",2020-03-25,"Jamaica",NA,NA,1,1,1,26,0,0,5,0,2934855,0.237500966830639,0.674532607662342,0.0879664255070196,29.4,270.993074792244,0.007558
"Japan|NA|NA",2020-03-25,"Japan",NA,NA,45,45,45,1307,0,2,114,0,126529100,0.126968488090205,0.597267812806245,0.27576369910355,48.6,347.073458415624,0.0108
"Korea, South|NA|NA",2020-03-25,"Korea, South",NA,NA,126,126,126,9137,0,6,100,0,51635256,0.129733235784635,0.726081205891396,0.144185558323969,43.2,529.652103632681,0.0056
"Lebanon|NA|NA",2020-03-25,"Lebanon",NA,NA,6,6,6,333,0,2,15,0,6848925,0.260958671652131,0.66901764700394,0.0700236813439294,33.7,669.494134897361,0.004263
"Lithuania|NA|NA",2020-03-25,"Lithuania",NA,NA,4,4,4,274,0,2,65,0,2789533,0.148824245055089,0.654125423380302,0.197050331564608,44.5,44.5313513780643,0.0142
"Luxembourg|NA|NA",2020-03-25,"Luxembourg",NA,NA,8,8,8,1333,0,0,234,0,607728,0.158788239869589,0.699380218288939,0.141831541841472,39.5,250.093827160494,0.0071
"Malaysia|NA|NA",2020-03-25,"Malaysia",NA,NA,20,20,20,1796,0,4,172,0,31528585,0.239951410860297,0.693331042884915,0.0667175462547886,29.2,95.9628214883579,0.005014
"Mauritius|NA|NA",2020-03-25,"Mauritius",NA,NA,2,2,2,48,0,0,6,0,1265303,0.17793692318012,0.707321346133359,0.114741730686522,36.3,623.30197044335,0.008
"Mexico|NA|NA",2020-03-25,"Mexico",NA,NA,5,5,5,405,0,1,38,0,126190788,0.265568481908521,0.662194668282759,0.0722368498087198,29.3,64.9146264050001,0.005933
